GluGluToRadionToHHTo2B2Tau_M-500
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 6762, eff_eTau = 0.7
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 6496, eff_eTau = 0.67
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 6442, eff_eTau = 0.66
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 6710, eff_eTau = 0.69
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 9941, eff_muTau = 0.87
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 9885, eff_muTau = 0.87
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 9631, eff_muTau = 0.85
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 9856, eff_muTau = 0.86
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 9599, eff_muTau = 0.84
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 9666, eff_muTau = 0.85
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 9697, eff_muTau = 0.85
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 9913, eff_muTau = 0.87
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 9666, eff_muTau = 0.85
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 7447, eff_tauTau = 0.35
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 6913, eff_tauTau = 0.33
with  tauTau && (HLT_ditau) : n_tauTau = 6598, eff_tauTau = 0.31
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 7155, eff_tauTau = 0.34
GluGluToRadionToHHTo2B2Tau_M-550
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 5267, eff_eTau = 0.72
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 4978, eff_eTau = 0.68
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 4920, eff_eTau = 0.68
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 5212, eff_eTau = 0.72
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 7516, eff_muTau = 0.89
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 7471, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 7206, eff_muTau = 0.85
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 7450, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 7181, eff_muTau = 0.85
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 7238, eff_muTau = 0.86
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 7261, eff_muTau = 0.86
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 7497, eff_muTau = 0.89
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 7238, eff_muTau = 0.86
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 6230, eff_tauTau = 0.41
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 5681, eff_tauTau = 0.38
with  tauTau && (HLT_ditau) : n_tauTau = 5294, eff_tauTau = 0.35
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 5870, eff_tauTau = 0.39
GluGluToRadionToHHTo2B2Tau_M-600
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 5992, eff_eTau = 0.76
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 5571, eff_eTau = 0.71
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 5491, eff_eTau = 0.7
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 5918, eff_eTau = 0.75
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 8558, eff_muTau = 0.9
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 8507, eff_muTau = 0.9
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 8141, eff_muTau = 0.86
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 8475, eff_muTau = 0.89
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 8103, eff_muTau = 0.86
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 8167, eff_muTau = 0.86
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 8203, eff_muTau = 0.87
