with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 6477, eff_eTau = 0.65
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 6700, eff_eTau = 0.68
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 10576, eff_muTau = 0.87
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 10515, eff_muTau = 0.87
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 10291, eff_muTau = 0.85
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 10488, eff_muTau = 0.87
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 10261, eff_muTau = 0.85
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 10332, eff_muTau = 0.85
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 10362, eff_muTau = 0.85
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 10549, eff_muTau = 0.87
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 10332, eff_muTau = 0.85
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 7343, eff_tauTau = 0.34
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 6812, eff_tauTau = 0.31
with  tauTau && (HLT_ditau) : n_tauTau = 6537, eff_tauTau = 0.3
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 7095, eff_tauTau = 0.33
GluGluToBulkGravitonToHHTo2B2Tau_M-500
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 8122, eff_eTau = 0.72
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 7719, eff_eTau = 0.69
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 7643, eff_eTau = 0.68
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 8053, eff_eTau = 0.72
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 12066, eff_muTau = 0.89
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 11998, eff_muTau = 0.89
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 11621, eff_muTau = 0.86
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 11969, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 11589, eff_muTau = 0.85
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 11667, eff_muTau = 0.86
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 11697, eff_muTau = 0.86
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 12039, eff_muTau = 0.89
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 11667, eff_muTau = 0.86
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 9816, eff_tauTau = 0.4
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 8999, eff_tauTau = 0.37
with  tauTau && (HLT_ditau) : n_tauTau = 8520, eff_tauTau = 0.35
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 9371, eff_tauTau = 0.38
GluGluToBulkGravitonToHHTo2B2Tau_M-550
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 6444, eff_eTau = 0.76
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 6020, eff_eTau = 0.71
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 5950, eff_eTau = 0.7
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 6381, eff_eTau = 0.75
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 9292, eff_muTau = 0.91
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 9240, eff_muTau = 0.91
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 8894, eff_muTau = 0.87
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 9209, eff_muTau = 0.9
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 8858, eff_muTau = 0.87
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 8924, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 8959, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 9262, eff_muTau = 0.91
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 8924, eff_muTau = 0.88
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 8524, eff_tauTau = 0.48
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 7633, eff_tauTau = 0.43
with  tauTau && (HLT_ditau) : n_tauTau = 7053, eff_tauTau = 0.39
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 7987, eff_tauTau = 0.45
GluGluToBulkGravitonToHHTo2B2Tau_M-600
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 7398, eff_eTau = 0.8
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 6799, eff_eTau = 0.73
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 6691, eff_eTau = 0.72
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 7295, eff_eTau = 0.78
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 10249, eff_muTau = 0.93
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 10200, eff_muTau = 0.92
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 9713, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 10144, eff_muTau = 0.92
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 9654, eff_muTau = 0.87
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 9714, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 9772, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 10193, eff_muTau = 0.92
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 9714, eff_muTau = 0.88
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 10346, eff_tauTau = 0.54
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 9145, eff_tauTau = 0.48
with  tauTau && (HLT_ditau) : n_tauTau = 8191, eff_tauTau = 0.43
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 9443, eff_tauTau = 0.49
GluGluToBulkGravitonToHHTo2B2Tau_M-650
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 8158, eff_eTau = 0.83
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 7393, eff_eTau = 0.75
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 7228, eff_eTau = 0.73
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 8001, eff_eTau = 0.81
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 10952, eff_muTau = 0.94
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 10906, eff_muTau = 0.94
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 10361, eff_muTau = 0.89
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 10832, eff_muTau = 0.93
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 10276, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 10348, eff_muTau = 0.89
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 10430, eff_muTau = 0.89
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 10880, eff_muTau = 0.93
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 10348, eff_muTau = 0.89
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 12295, eff_tauTau = 0.6
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 10722, eff_tauTau = 0.53
with  tauTau && (HLT_ditau) : n_tauTau = 9361, eff_tauTau = 0.46
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 10983, eff_tauTau = 0.54
GluGluToBulkGravitonToHHTo2B2Tau_M-700
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 8939, eff_eTau = 0.85
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 8024, eff_eTau = 0.76
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 7764, eff_eTau = 0.74
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 8689, eff_eTau = 0.82
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 11664, eff_muTau = 0.95
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 11612, eff_muTau = 0.95
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 11061, eff_muTau = 0.9
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 11512, eff_muTau = 0.94
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 10954, eff_muTau = 0.89
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 11039, eff_muTau = 0.9
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 11141, eff_muTau = 0.91
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 11568, eff_muTau = 0.94
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 11039, eff_muTau = 0.9
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 14115, eff_tauTau = 0.66
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 12142, eff_tauTau = 0.57
with  tauTau && (HLT_ditau) : n_tauTau = 10449, eff_tauTau = 0.49
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 12490, eff_tauTau = 0.59
GluGluToBulkGravitonToHHTo2B2Tau_M-750
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 9285, eff_eTau = 0.87
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 8247, eff_eTau = 0.78
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 7938, eff_eTau = 0.75
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 8995, eff_eTau = 0.85
